11,1000039
9,1045931
10,997651
9,1046586
8,108793
9,1044198
9,999144
11,997168
11,993457
9,1046584
9,1026191
11,983183
9,1002498
11,1037648
9,1046885
11,1037521
11,1000202
10,999478
11,993655
9,1026830
11,1046592
11,993641
10,1045793
8,1006265
10,108764
9,1003142
10,994698
9,1046353
8,1017425
9,1002327
10,998150
8,1007228
11,992752
10,1041411
10,1041415
11,996206
10,991058
9,992329
9,1043144
8,1003113
9,998499
11,989856
11,988387
8,1007300
8,1002947
10,998787
9,1002431
9,1003448
8,100699
11,99594
11,109360
8,1012923
10,997624
9,992717
11,996120
11,995264
11,995265
9,1002578
10,998024
10,998452
11,1017337
9,108025
11,993598
11,1036581
9,1002334
9,100169
11,993064
11,993214
11,995491
9,1004050
9,1001397
11,995934
9,1029071
9,99658
10,998302
10,987491
8,1006162
10,992296
8,1023430
9,1024157
10,998160
9,1001675
11,993549
8,1006551
11,1037486
9,996777
8,1007288
11,1036752
8,1000593
8,1013293
10,991337
10,991338
11,995402
8,1006437
9,1003953
9,996732
8,1007260
9,996865
8,1004718
10,1026591
9,1016588
9,1003160
9,1002050
10,998539
9,1003896
11,993518
11,1003840
8,1006275
11,108722
9,989026
10,1003001
8,1006354
11,998968
8,1016637
10,998274
10,992641
8,997286
9,998237
11,1037220
8,1005902
9,1002297
10,998319
10,99884
8,1006286
9,1001956
8,1006481
8,1006482
8,1006480
10,989401
10,1001635
10,999032
9,102910
9,1002828
9,1003144
10,987055
8,1005123
11,993596
8,1003564
11,985138
10,990391
10,999143
9,1003004
10,109439
10,101618
8,1005607
9,1043217
10,999404
10,997840
8,1006156
9,1003055
10,1001960
9,1000598
10,999012
9,1004264
8,1006886
9,1002125
10,998036
11,981669
11,1003561
9,1003558
11,988847
9,1042416
10,998595
10,998594
10,997158
9,1045664
10,1044183
9,1012997
11,993830
9,1046335
10,997977
11,108829
8,109128
8,1018244
9,1029116
11,1034965
9,1002549
11,1015620
9,104589
9,995191
9,1047033
10,992620
8,1040199
11,994593
9,1003323
8,1006140
8,1006416
10,998232
9,1001564
10,994828
8,1017833
8,1005504
9,1024133
10,994178
8,1023636
9,1002533
9,99590
10,1042182
8,1007330
9,1024493
10,998337
10,998334
11,993758
8,1005948
10,1005844
10,999842
9,1003711
10,999240
9,1003364
8,1003852
11,981515
11,992327
11,993792
11,994263
11,989402
11,1037562
9,1002898
11,994204
9,996658
10,988507
9,100428
9,1003153
11,993356
10,992325
9,995143
10,998457
9,1002079
11,994053
9,1002150
9,1046331
9,1046332
10,1020196
11,994765
11,983504
9,1003722
10,994354
11,994148
8,1006359
9,990183
8,1005881
10,997639
11,993177
9,1043772
8,999670
9,1002379
10,997423
10,998564
11,995222
11,998751
9,1002049
8,1016550
10,998872
8,1006526
8,1006612
8,1005582
11,995493
8,1006879
9,108477
8,1006510
11,990118
11,994946
11,985443
10,99889
9,1023776
11,986997
9,1002681
8,1005713
9,1045052
11,1034198
9,1046702
9,1046701
11,993393
9,100208
11,994588
11,988822
11,994056
8,1003955
8,1013952
10,1041600
9,1046534
9,1042786
11,1038514
10,1041270
11,1035588
10,1039160
11,994744
11,100820
10,997526
9,1013247
8,1012648
8,999502
8,1007030
11,993358
9,1003274
9,1002213
9,104682
8,1007377
9,998066
11,994824
9,1002182
9,1035550
9,1001691
11,999386
8,1005825
10,997456
9,1001987
11,994017
9,109262
10,998032
10,997857
8,1007169
10,988797
9,1047064
9,1046255
9,1046641
11,996054
9,1002930
10,998952
8,108144
11,992251
8,998906
8,10991
10,988947
8,109041
11,994322
8,1006053
10,998747
8,1003187
9,1046303
9,999627
9,102685
9,1045558
10,994622
8,102862
9,1004126
9,1002402
11,993749
9,1017049
11,993453
8,1000762
11,995244
8,1005964
9,998478
10,999527
11,1037572
8,1007346
11,993522
9,1002035
9,1002257
10,1031323
10,986027
9,1017960
10,998361
8,1030533
11,994372
10,1045666
11,988944
10,1037374
9,1042988
8,1006261
9,1002136
9,1027833
10,998065
11,995189
10,1046100
10,104697
9,1042980
9,1003389
8,1007056
9,1047519
10,1038727
11,989798
9,1046040
9,1045459
9,1045583
8,1006021
8,1006183
8,1006182
11,992998
8,998740
8,100628
10,997896
11,993995
9,1046424
9,1044481
11,993915
10,999292
9,1045343
8,10886
10,998695
11,1044374
10,998367
10,998583
9,1001120
9,1002938
11,994746
10,998288
8,1002743
10,998349
11,1020105
9,1046567
8,1006248
11,1037350
8,1012659
8,1033122
10,985705
10,997968
8,1006838
10,998377
9,100283
8,108547
10,995388
9,1001824
10,1017911
10,999424
11,984268
11,993466
9,1002729
10,998111
11,994785
10,999238
10,994058
10,999793
9,1003966
10,997710
9,1046136
10,1037502
8,1006601
9,1002348
10,1000059
10,1000060
9,1010034
10,999026
11,1001980
10,999279
9,988907
10,99847
9,1026363
9,1006676
11,986397
10,999068
8,108175
10,993897
10,997207
8,1035595
11,992518
9,102997
11,993753
10,988906
11,988355
10,988905
8,1014881
8,1011422
8,100648
9,995190
11,994655
8,998530
10,99897
11,989874
8,997197
8,1001312
9,1044249
10,999226
10,1024981
11,98997
11,995586
11,993571
10,1033315
10,1045991
10,998214
11,1000204
10,1000168
11,1037504
9,1002452
9,985707
8,1006536
9,1002170
10,985896
11,993411
8,1006665
11,993293
11,993294
9,1017407
8,108703
8,108707
9,1002575
8,1007325
8,1006966
10,1044101
11,995629
10,998129
8,1000777
8,1006352
8,1006714
9,998242
8,1007314
11,994491
9,1045383
9,1002531
8,1044907
